result,wind,nation,venue,venueCountry,date,name,yearOfBirth,sex,event,type
17.48,+1.6,DMA,Göteborg/U,SWE,1995-08-05,Jérôme Romain,1971,Male,TJ,NR
16.44,+0.9,DOM,Santo Domingo,DOM,2023-04-01,Juander Bueno,1998,Male,TJ,NR
17.03,+0.3,ECU,Sucre,BOL,2009-11-25,Hugo Chila,1987,Male,TJ,NR
16.48,,EGY,El Maadi,EGY,2022-09-14,Hossam Salamah Shoman,1999,Male,TJ,NR
13.51,-0.3,ERI,Riehen,SUI,2015-08-29,Awet Eoyb,,Male,TJ,NR
14.93,-0.5,ESA,Léon,MEX,2023-04-29,Fernando Reyes,2004,Male,TJ,NR
17.87,+1.2,ESP,Nerja,ESP,2022-06-26,Jordan Alejandro Díaz,2001,Male,TJ,NR
17.35,-0.2,EST,Moskva,URS,1980-07-25,Jaak Uudmäe,1954,Male,TJ,NR
16.41,,ETH,Addis Ababa,ETH,2024-02-01,Del Match,,Male,TJ,NR
16.08,-2.9,FIJ,Marion IN,USA,2012-05-26,Eugene Vollmer,1989,Male,TJ,NR
17.14,-0.5,FIN,Bydgoszcz,POL,2017-07-16,Simo Lipsanen,1995,Male,TJ,NR
18.04,+0.3,FRA,Moskva,RUS,2013-08-18,Teddy Tamgho,1989,Male,TJ,NR
12.68,,FSM,Abay,FSM,2001-07-26,Estephan Dadius,,Male,TJ,NR
15.53,+0.5,GAB,Johannesburg,RSA,1999-09-17,Yvon Nguena N'Goua,,Male,TJ,NR
15.05,,GAM,Banjul,GAM,1978-01-07,Jim Malleh Wadda,,Male,TJ,NR
18.29,+1.3,GBR,Göteborg/U,SWE,1995-08-07,Jonathan Edwards,1966,Male,TJ,NR
15.37,+0.4,GBS,Coimbra,POR,2021-06-12,Rinelmo Sami,2000,Male,TJ,NR
17.44,0.0,GEO,Sukhumi,USA,1972-10-17,Viktor Sanejev,1945,Male,TJ,NR
15.28,+1.7,GEQ,Los Realejos,ESP,2011-06-18,Luis Dyangani Oko,1989,Male,TJ,NR
17.66,,GER,Frankfurt,GER,1991-06-30,Ralf Jaros,1965,Male,TJ,NR
17.23,-0.5,GHA,Dakar,SEN,1998-08-19,Andrew Owusu,1972,Male,TJ,NR
12.06,+1.6,GIB,Visby,SWE,1999-07-01,Nicholas Vasquez,1970,Male,TJ,NR
17.55,+0.8,GRE,Thessaloníki,GRE,2006-06-18,Dimítrios Tsiámis,1982,Male,TJ,NR
17.49,0.0,GRN,São Paulo,BRA,2008-05-22,Randy Lewis,1980,Male,TJ,NR
15.95,+0.2,GUA,Ciudad de Guatemala,GUA,2019-06-08,Fredy Enrique Lemus,1998,Male,TJ,NR
14.80,+1.7,GUI,Talence,FRA,2021-05-09,Souleymane Soumah,2000,Male,TJ,NR
14.01,,GUM,Canberra,AUS,1996-03-03,David Wilson,1977,Male,TJ,NR
17.18,+1.7,GUY,Clermont FL,USA,2016-05-14,Troy Doris,1989,Male,TJ,NR
17.39,+1.3,HAI,Bogotá,COL,2009-07-24,Samyr Laine,1984,Male,TJ,NR
15.76,+1.1,HKG,Hongkong,HKG,2013-04-07,Ng Ka Wai,1990,Male,TJ,NR
16.04,,HON,Ciudad de Panamá,PAN,2015-08-18,Jason Castro,1991,Male,TJ,NR
17.24,+0.7,HUN,Tivoli,ITA,1998-05-31,Zsolt Czingler,1971,Male,TJ,NR
16.21,-0.2,INA,New Clark City,PHI,2019-12-10,Sapwaturrahman,1994,Male,TJ,NR
17.37,-1.5,IND,La Habana,CUB,2023-05-06,Praveen Chithravel,2001,Male,TJ,NR
16.62,+1.1,IRI,Mashhad,IRI,2021-04-11,Hamid Reza Kia,2001,Male,TJ,NR
15.89,,IRL,Søllerød,DEN,1977-06-26,Colm Cronin,1957,Male,TJ,NR
16.48,+1.7,IRQ,Baghdad,IRQ,1996-05-08,Majed Abdulsada Jabbar,1974,Male,TJ,NR
16.70,,ISL,Reykjavik,ISL,1960-08-07,Vilhjálmur Einarsson,1934,Male,TJ,NR
17.20,+0.9,ISR,Sevilla,ESP,1992-06-06,Rogel Nachum,1967,Male,TJ,NR
16.99,+0.4,ISV,Baltimore MD,USA,2016-04-23,Muhammad Halim,1986,Male,TJ,NR
17.60,+1.9,ITA,Milano,ITA,2000-06-07,Fabrizio Donato,1976,Male,TJ,NR
15.73,,IVB,Minneapolis MN,USA,1995-05-20,Keita Cline,1974,Male,TJ,NR
17.92,+1.9,JAM,Odessa TX,USA,1995-05-20,James Beckford,1975,Male,TJ,NR
15.87,,JOR,Irbid,JOR,2000-07-23,Mohamed Abdelbaki,1978,Male,TJ,NR
17.15,+0.9,JPN,Tokyo,JPN,1986-06-01,Norifumi Yamashita,1962,Male,TJ,NR
17.58,+1.5,KAZ,Gorki,USA,1989-07-23,Oleg Sakirkin,1966,Male,TJ,NR
17.12,+0.4,KEN,Nairobi,KEN,1996-06-28,Jacob Katonon,1969,Male,TJ,NR
17.27,,KGZ,Tashkent,URS,1983-05-15,Shamil Abbyasov,1957,Male,TJ,NR
13.90,+0.5,KIR,Apia,SAM,2011-06-22,Boitu Baiteke,1990,Male,TJ,NR
17.10,+1.3,KOR,Daegu,KOR,2009-06-05,Kim Duk-Hyung,1985,Male,TJ,NR
14.04,,KOS,Mitrovice,KOS,2020-06-26,Erudit Rysha,1998,Male,TJ,NR
17.07,+0.3,KSA,Riyadh,KSA,1997-05-15,Salem Mouled Al-Ahmadi,1969,Male,TJ,NR
16.75,,KUW,Barcelona,ESP,1992-08-01,Marzouk Abdullah Al-Yoha,1968,Male,TJ,NR
15.74,,LAO,Norwalk CT,USA,1990-06-02,Phouphet Singbandith,,Male,TJ,NR
17.56,+1.9,LAT,Riga,URS,1988-09-03,Maris Bruziks,1962,Male,TJ,NR
16.13,,LBA,Casablanca,MAR,1985-05-08,Fethi Khalifa Aboud,,Male,TJ,NR
15.36,+0.3,LBN,Arcadia CA,USA,2015-04-11,Patrick Hanna,1996,Male,TJ,NR
16.46,,LBR,Princeton NJ,USA,2005-04-23,Tuan Wreh,1979,Male,TJ,NR
16.11,-1.7,LCA,Fort Collins CO,USA,2010-05-01,Jeremiah James,1987,Male,TJ,NR
13.56,,LES,Maputo,MOZ,2010-05-30,Leoma Rebonejoang,,Male,TJ,NR
13.62,,LIE,Zürich,SUI,1967-07-02,Franz Biedermann,1946,Male,TJ,NR
17.29,+0.7,LTU,Vilnius,LTU,1995-07-22,Audrius Raizgys,1969,Male,TJ,NR
15.38,,LUX,Diekirch,LUX,1990-07-21,Guy Kemp,1964,Male,TJ,NR
15.56,-0.1,MAC,Hongkong,HKG,2011-12-18,Si Kuan Wong,1982,Male,TJ,NR
17.05,+1.0,MAD,Sotteville-lès-Rouen,FRA,1989-06-10,Toussaint Rabenala,1965,Male,TJ,NR
17.37,+2.0,MAR,Khémisset,MAR,2007-07-14,Tareq Bougtaïb,1981,Male,TJ,NR
16.77,+0.2,MAS,Kuala Lumpur,MAS,2017-08-23,Muhd Hakimi Ismail,1991,Male,TJ,NR
14.30,,MAW,Blantyre,MAW,1970-01-01,Daniel Mkandawire,1951,Male,TJ,NR
17.06,0.0,MDA,Beograd,SRB,2002-06-23,Vladimir Letnicov,1981,Male,TJ,NR
12.76,,MDV,Male,MDV,1996-11-01,Ahmed Fall,,Male,TJ,NR
16.99,+1.9,MEX,Norwalk CA,USA,2016-04-16,Alberto Alvarez,1991,Male,TJ,NR
14.60,+1.4,MGL,Irkutsk,URS,1986-08-22,Khandsuren Tsastbaatar,,Male,TJ,NR
11.94,,MHL,Susupe,NMI,1969-07-01,Mike Zakios,,Male,TJ,NR
15.46,0.0,MKD,Banská Bystrica,SVK,2008-06-22,Redzhep Selman,1986,Male,TJ,NR
16.59,+0.2,MLI,Bamako,MLI,2017-06-03,Mamadou Chérif Dia,1985,Male,TJ,NR
15.20,+1.2,MLT,Marsa,MLT,2021-07-10,Ian Paul Grech,1993,Male,TJ,NR
14.97,,MNE,Berane,YUG,1981-07-24,Milorad Jovancevic,1959,Male,TJ,NR
14.69,,MNT,Plymouth,GBR,1982-07-24,Oswald Phillip,,Male,TJ,NR
12.76,,MON,Nicosia,CYP,1989-05-17,Yvan Ornella,1970,Male,TJ,NR
15.76,,MOZ,Gaborone,BOT,1988-07-19,Paulo Noronha,1966,Male,TJ,NR
16.96,+1.5,MRI,Castres,FRA,2015-07-29,Jonathan Drack,1988,Male,TJ,NR
15.06,+0.1,MYA,Pathum Thani,THA,2022-12-01,Hein Htet Aung,2006,Male,TJ,NR
16.78,+0.8,NAM,Johannesburg,RSA,2016-02-13,Roger Haitengi,1983,Male,TJ,NR
15.36,+0.4,NCA,Managua,NCA,2017-12-12,Angel Suárez,1998,Male,TJ,NR
16.92,+2.0,NED,Clermont FL,USA,2016-04-30,Fabian Florant,1983,Male,TJ,NR
15.20,,NEP,Kathmandu,NEP,2001-07-25,Sita Ram Chaudhari,,Male,TJ,NR
11.62,+0.3,NFI,Townsville,AUS,2004-12-17,Ben Martin Wieczorek,1988,Male,TJ,NR
17.26,+1.5,NGR,Edmonton,CAN,1983-07-08,Ajayi Agbebaku,1956,Male,TJ,NR
15.40,,NIG,Niamey,NIG,1994-05-28,Harouna Doulla,,Male,TJ,NR
13.42,,NIU,Paliati,NIU,1982-10-16,Ian Hipa,,Male,TJ,NR
12.47,,NMI,Abay,FSM,2018-07-19,Douglas Schmidt,,Male,TJ,NR
17.27,+1.3,NOR,Byrkjelo,NOR,1999-08-08,Ketill Hanstveit,1973,Male,TJ,NR
12.61,-0.9,NRU,Gold Coast,AUS,2009-06-08,Deamo Baguga,1986,Male,TJ,NR
16.67,+0.1,NZL,Bruxelles,BEL,2023-06-25,Ethan Olivier,2005,Male,TJ,NR
16.42,0.0,OMA,Marrakech,MAR,2023-06-23,Salem Saleh El-Jerbi,1994,Male,TJ,NR
16.45,,PAK,Karachi,PAK,2007-04-12,Zafar Iqbal,1982,Male,TJ,NR
15.50,,PAN,Dickinson ND,USA,2007-05-04,Michael Thompson,1984,Male,TJ,NR
15.17,+1.0,PAR,Asunción,PAR,2018-10-20,Christopher Josué Ortiz,1995,Male,TJ,NR
16.72,,PER,Huancayo,PER,1987-11-14,Ricardo Valiente,1968,Male,TJ,NR
16.70,+0.8,PHI,Ilagan,PHI,2017-04-01,Mark Harry Diones,1993,Male,TJ,NR
14.80,,PLE,Al-Kuwait,KUW,1985-01-05,Khalil Abdulrahman,,Male,TJ,NR
13.68,,PLW,Koror,PLW,1969-07-01,William Mgirakelau,,Male,TJ,NR
15.66,+1.1,PNG,Canyon TX,USA,2022-05-15,Peniel Richard,1994,Male,TJ,NR
17.53,+1.6,POL,Madrid,ESP,1985-06-04,Zdzisław Hoffmann,1959,Male,TJ,NR
17.98,0.0,POR,Tokyo,JPN,2021-08-05,Pedro Pablo Pichardo,1993,Male,TJ,NR
16.06,,PRK,Pyongyang,PRK,1995-10-26,Cha Gyong-Son,,Male,TJ,NR
17.10,+1.4,PUR,Carolina,PUR,2007-03-17,Allen Simms,1982,Male,TJ,NR
17.15,+1.3,QAT,Doha,QAT,2004-04-20,Ibrahim Mohamed Aboubaker,1982,Male,TJ,NR
17.81,+1.0,ROU,Lausanne,SUI,2005-07-05,Marian Oprea,1982,Male,TJ,NR
17.35,+0.2,RSA,Marrakech,MAR,2014-09-14,Godfrey Mokoena,1985,Male,TJ,NR
15.02,,RWA,Montpellier,FRA,1987-05-14,Albert Sézikéyé,,Male,TJ,NR
15.12,,SAM,Apia,SAM,1999-09-15,Fagamanu Sofai,1978,Male,TJ,NR
17.07,+1.7,SEN,Addis Ababa,ETH,2008-05-03,Ndiss Kaba Badji,1983,Male,TJ,NR
16.80,+0.8,SEY,Antananarivo,MAD,1990-08-27,Paul Nioze,1967,Male,TJ,NR
16.04,-1.3,SGP,Paroi,MAS,2009-04-26,Stefan Tseng Ke Cheng,1990,Male,TJ,NR
16.24,0.0,SKN,Atlanta GA,USA,2000-05-20,Vance Clarke,1975,Male,TJ,NR
15.81,,SLE,Fukuoka,JPN,1995-08-29,Osman Cline-Thomas,1972,Male,TJ,NR
16.82,+1.8,SLO,Ljubljana,SLO,2002-06-01,Boštjan Šimunič,1974,Male,TJ,NR
14.71,+2.0,SMR,Marsa,MLT,2003-06-03,Federico Gorrieri,1985,Male,TJ,NR
14.48,,SOL,Port Moresby,PNG,1969-08-18,George Fafale,,Male,TJ,NR
14.95,,SOM,Sheikh,SOM,1968-01-01,Mohamed Osman Yussuf,,Male,TJ,NR
17.01,0.0,SRB,Sarajevo,YUG,1981-09-20,Milos Srejovic,1956,Male,TJ,NR
16.72,+1.5,SRI,Diyagama,SRI,2023-03-31,L.P.G. Dhananjaya,1997,Male,TJ,NR
15.87,+1.0,STP,Nerja,ESP,2021-06-19,Alberto De Oliveira,1999,Male,TJ,NR
15.56,,SUD,Khartoum,SUD,1996-03-15,Khaled Ahmed Musa,,Male,TJ,NR
17.13,+0.8,SUI,Göteborg/U,SWE,2006-08-10,Alexander Martínez,1977,Male,TJ,NR
16.96,+1.3,SUR,Barranquilla,COL,2018-08-02,Miguel Van Assen,1997,Male,TJ,NR
17.46,0.0,SVK,Zhukovskiy,RUS,2008-06-15,Dmitrij Vaľukevič,1981,Male,TJ,NR
17.79,+1.4,SWE,Athína,GRE,2004-08-22,Christian Olsson,1980,Male,TJ,NR
16.18,,SWZ,Barcelona,ESP,1992-08-01,Sizwe Mdluli,1969,Male,TJ,NR
16.67,+0.5,SYR,Almería,ESP,2005-06-29,Mohamed Hazouri,1983,Male,TJ,NR
15.92,+1.6,TAN,Stellenbosch,RSA,2019-04-04,Anthony Mwanga,1997,Male,TJ,NR
14.18,,TGA,Nuku'Alofa,TGA,1997-04-01,Viliame Vaki,,Male,TJ,NR
14.18,,TGA,Nuku'Alofa,TGA,2000-10-04,Tokaikolo Latapu,,Male,TJ,NR
16.66,+2.0,THA,Bangkok,THA,2002-05-21,Nattaporn Nomkanha,1971,Male,TJ,NR
17.52,+1.8,TJK,Kyiv,URS,1991-07-12,Vasiliy Sokov,1968,Male,TJ,NR
17.20,,TKM,Askhabad,TKM,1983-05-02,Vladimir Brigadniy,1955,Male,TJ,NR
14.00,-1.8,TKS,Kingston,JAM,2022-04-09,Rayvon Hilly-Ruben,2005,Male,TJ,NR
16.18,+1.3,TOG,Port Elizabeth,RSA,2003-02-28,Akotia Tchalla,1981,Male,TJ,NR
16.65,,TPE,Delhi,IND,1989-11-18,Nai Hui-Fang,1969,Male,TJ,NR
16.67,-0.3,TTO,Szombathely,HUN,2004-08-08,LeJuan Simon,1981,Male,TJ,NR
16.76,+1.3,TUN,Limôges,FRA,1995-07-08,Mohamed Karim Sassi,1968,Male,TJ,NR
17.37,+1.1,TUR,Gävle,SWE,2019-07-14,Necati Er,1997,Male,TJ,NR
13.61,-1.1,TUV,Apia,SAM,2011-06-22,Okilani Tinilau,1989,Male,TJ,NR
16.80,0.0,UAE,Aleppo,SYR,2010-09-20,Mohammed Abdullah Darwish,1986,Male,TJ,NR
16.26,,UGA,Lagos,NGR,1973-01-17,Abraham Munabi,1940,Male,TJ,NR
17.90,+2.0,UKR,Bratislava,TCH,1990-06-20,Vladimir Inozemtsev,1964,Male,TJ,NR
15.08,+1.2,URU,Mar del Plata,ARG,2010-11-07,Emiliano Lasa,1990,Male,TJ,NR
18.21,+0.2,USA,Beijing,CHN,2015-08-27,Christian Taylor,1990,Male,TJ,NR
17.36,+1.8,UZB,Odessa,URS,1988-08-21,Vladimir Chernikov,1959,Male,TJ,NR
14.65,,VAN,Pirae,PYF,1978-08-31,Georges Taniel,1958,Male,TJ,NR
16.90,+1.4,VEN,São Paulo,BRA,2023-05-10,Leodan Torrealba,1996,Male,TJ,NR
16.67,+1.3,VIE,Nay Pyi Taw,MYA,2013-12-19,Nguyen Van Hung,1989,Male,TJ,NR
16.09,-0.1,VIN,Gold Coast,AUS,2018-04-12,Jumonne Exeter,1993,Male,TJ,NR
14.17,,YEM,UNKNOWN,???,1962-02-01,Christopher Salole,,Male,TJ,NR
16.30,,ZAM,Lusaka,ZAM,1992-08-23,Gordon Mulenga,1973,Male,TJ,NR
17.34,+1.6,ZIM,Lafayette LA,USA,1998-03-28,Ndabazihle Mdhlongwa,1973,Male,TJ,NR
